ID,Name,Latitude,Longitude,Address,Link,IMAX With Laser,Stadium Seating,Handicap Accessible,Assistive Listening Devices Available,Reserved Seating,Ticketing Kiosk,Cafe
2693,AMC 30 at the Block & IMAX,33.782530000000,-117.893300000000,"20 City Blvd. West, Orange, CA 92868",https://imax.com/theatres/amc-30-block-imax,true,true,false,false,false,true,false
2694,AMC Palm Promenade 24 & IMAX,32.578940000000,-117.036300000000,"770 Dennery Road, San Diego, CA 92154",https://imax.com/theatres/amc-palm-promenade-24-imax,false,true,true,true,false,true,false
2695,AMC Plaza Bonita 14 & IMAX,32.653520000000,-117.066800000000,"3050 Plaza Bonita Road, National City, CA 91950",https://imax.com/theatres/amc-plaza-bonita-14-imax,false,true,true,true,false,false,false
2696,AMC Promenade 16 & IMAX,34.179120000000,-118.602000000000,"21801 Oxnard Street, Woodland Hills, CA 91367",https://imax.com/theatres/amc-promenade-16-imax,false,true,true,true,true,true,false
2697,AMC Puente 20 & IMAX,33.993800000000,-117.930500000000,"1560 South Azusa Avenue, City of Industry, CA 91748",https://imax.com/theatres/amc-puente-20-imax,true,true,false,false,false,true,false
2698,AMC Rolling Hills 20 & IMAX,33.793160000000,-118.328700000000,"2591 Airport Drive, Torrance, CA 90505",https://imax.com/theatres/amc-rolling-hills-20,false,true,false,false,true,false,false
2699,AMC Santa Anita 16 & IMAX,34.135400000000,-118.054300000000,"400 Baldwin Ave, Arcadia, CA 91007",https://imax.com/theatres/amc-santa-anita-16-imax,false,true,true,false,false,true,false
2700,AMC Saratoga 14 & IMAX,37.289950000000,-121.991900000000,"700 El Paseo De Saratoga, San Jose, CA 95130",https://imax.com/theatres/amc-saratoga-14-imax,false,true,false,false,false,true,false
2701,AMC Tyler 16 & IMAX,33.911380000000,-117.460700000000,"3775 Tyler Street, Riverside, CA 92503",https://imax.com/theatres/amc-tyler-16-imax,false,true,false,false,false,false,false
2702,AMC Universal CityWalk Stadium 19 & IMAX,34.136750000000,-118.352400000000,"100 Universal City Plaza, Universal City, CA 91608",https://imax.com/theatres/amc-universal-citywalk-stadium-19-imax,true,true,true,true,true,true,false
2704,Cinemark 22 & IMAX,34.703930000000,-118.177400000000,"2600 West Avenue I, Lancaster, CA 93534",https://imax.com/theatres/cinemark-22-imax,false,true,true,true,false,true,true
2706,Regal Edwards Alhambra Renaissance & IMAX,34.095380000000,-118.126800000000,"1 East Main Street, Alhambra, CA 91801",https://imax.com/theatres/regal-edwards-alhambra-renaissance-imax,false,true,true,true,false,true,false
2707,Regal Edwards Aliso Viejo & IMAX,33.574990000000,-117.723600000000,"26701 Aliso Creek Road, Enterprise Dr., Aliso Viejo, CA 92656",https://imax.com/theatres/regal-edwards-aliso-viejo-imax,false,true,true,true,true,true,false
2708,Regal Edwards Camarillo Palace & IMAX,34.218040000000,-119.063000000000,"680 Ventura Boulevard, Camarillo, CA 93010",https://imax.com/theatres/regal-edwards-camarillo-palace-imax,false,true,true,true,false,false,false
2709,Regal Edwards Fairfield & IMAX,38.262560000000,-122.056100000000,"1549 Gateway Boulevard, Fairfield, CA 94533",https://imax.com/theatres/regal-edwards-fairfield-imax,false,true,true,true,false,false,false
2710,Regal Edwards Fresno & IMAX,36.847880000000,-119.790400000000,"250 Paseo del Centro, Fresno, CA 93720",https://imax.com/theatres/regal-edwards-fresno-imax,false,true,true,true,true,true,false
2711,Regal Edwards Irvine Spectrum & IMAX,33.651560000000,-117.746800000000,"500 Spectrum Centre Drive, Irvine, CA 92618",https://imax.com/theatres/regal-edwards-irvine-spectrum-imax,true,true,true,true,true,false,false
2712,Regal Edwards Long Beach & IMAX,33.831200000000,-118.087200000000,"7501 East Carson Boulevard, Long Beach, CA 90808",https://imax.com/theatres/regal-edwards-long-beach-imax,false,true,true,true,true,false,false
2713,Regal Edwards Mira Mesa & IMAX,32.915660000000,-117.120300000000,"10733 Westview Parkway, San Diego, CA 92126",https://imax.com/theatres/regal-edwards-mira-mesa-imax,false,true,true,true,true,true,false
2714,Regal Edwards Ontario Palace & IMAX,34.076980000000,-117.546800000000,"4900 East 4th Street, Ontario, CA 91764",https://imax.com/theatres/regal-edwards-ontario-palace-imax,false,true,true,true,false,true,false
2715,Regal Edwards South Gate & IMAX,33.952540000000,-118.164000000000,"8630 Garfield Avenue, South Gate, CA 90280",https://imax.com/theatres/edwards-south-gate-stadium-20-imax,false,true,false,false,true,true,false
2716,Regal Edwards Temecula & IMAX,33.526750000000,-117.156900000000,"40750 Winchester Road, Temecula, CA 92591",https://imax.com/theatres/edwards-temecula-stadium-15-imax,false,true,true,true,true,false,false
2717,Regal Edwards Valencia & IMAX,34.417840000000,-118.561700000000,"24435 Town Center Drive, Santa Clarita, CA 91355",https://imax.com/theatres/regal-edwards-valencia-imax,false,true,true,true,true,true,false
2718,Esquire IMAX Theatre,38.578550000000,-121.490900000000,"1211 K Street, Sacramento, CA 95814",https://imax.com/theatres/esquire-imax,false,true,false,false,true,false,true
2720,"IMAX, California Science Center",34.016360000000,-118.284800000000,"700 Exposition Park Drive, Los Angeles, CA 90037",https://imax.com/theatres/imax-california-science-center,true,true,false,false,false,false,false
2721,Regal El Dorado Hills & IMAX,38.653150000000,-121.064800000000,"2101 Vine Street, El Dorado Hills, CA 95762",https://imax.com/theatres/regal-el-dorado-hills-imax,false,true,true,true,false,false,false
2722,Regal Escondido & IMAX,33.120970000000,-117.085600000000,"350 W. Valley Parkway, Escondido, CA 92025",https://imax.com/theatres/regal-escondido-imax,false,true,true,true,false,false,false
